연도,월,지역명,평당분양가격,전용면적
2015,11,전남,6596.7,60㎡
2015,11,전남,6289.799999999999,60㎡~85㎡
2015,11,전남,7464.599999999999,85㎡~102㎡
2015,11,전남,7180.799999999999,102㎡~
2015,11,경북,7227.0,모든면적
2015,11,경북,7293.0,60㎡
2015,11,경북,7213.799999999999,60㎡~85㎡
2015,11,경북,8302.8,85㎡~102㎡
2015,11,경북,7821.0,102㎡~
2015,11,경남,7583.4,모든면적
2015,11,경남,7260.0,60㎡
2015,11,경남,7662.599999999999,60㎡~85㎡
2015,11,경남,9834.0,85㎡~102㎡
2015,11,경남,10041.9,102㎡~
2015,11,제주,7365.599999999999,모든면적
2015,11,제주,,60㎡
2015,11,제주,7342.5,60㎡~85㎡
2015,11,제주,8523.9,85㎡~102㎡
2015,11,제주,8494.199999999999,102㎡~
2015,12,서울,19935.3,모든면적
2015,12,서울,20859.3,60㎡
2015,12,서울,19687.8,60㎡~85㎡
2015,12,서울,21492.899999999998,85㎡~102㎡
2015,12,서울,21618.3,102㎡~
2015,12,인천,10507.199999999999,모든면적
2015,12,인천,10982.4,60㎡
2015,12,인천,10292.699999999999,60㎡~85㎡
2015,12,인천,11698.5,85㎡~102㎡
2015,12,인천,11246.4,102㎡~
2015,12,경기,10553.4,모든면적
2015,12,경기,10866.9,60㎡
2015,12,경기,10936.199999999999,60㎡~85㎡
2015,12,경기,11381.699999999999,85㎡~102㎡
2015,12,경기,12705.0,102㎡~
2015,12,부산,10319.099999999999,모든면적
2015,12,부산,9738.3,60㎡
2015,12,부산,10005.6,60㎡~85㎡
2015,12,부산,9758.1,85㎡~102㎡
2015,12,부산,12338.699999999999,102㎡~
2015,12,대구,9774.6,모든면적
2015,12,대구,10830.599999999999,60㎡
2015,12,대구,9804.3,60㎡~85㎡
2015,12,대구,8355.6,85㎡~102㎡
2015,12,대구,9051.9,102㎡~
2015,12,광주,8170.799999999999,모든면적
2015,12,광주,7903.5,60㎡
2015,12,광주,8213.699999999999,60㎡~85㎡
2015,12,광주,,85㎡~102㎡
2015,12,광주,,102㎡~
2015,12,대전,8098.2,모든면적
2015,12,대전,8530.5,60㎡
2015,12,대전,8012.4,60㎡~85㎡
2015,12,대전,8121.299999999999,85㎡~102㎡
2015,12,대전,,102㎡~
2015,12,울산,10041.9,모든면적
2015,12,울산,8527.199999999999,60㎡
2015,12,울산,10058.4,60㎡~85㎡
2015,12,울산,8787.9,85㎡~102㎡
2015,12,울산,9484.199999999999,102㎡~
2015,12,세종,8794.5,모든면적
2015,12,세종,8583.3,60㎡
2015,12,세종,8830.8,60㎡~85㎡
2015,12,세종,8781.3,85㎡~102㎡
2015,12,세종,9081.6,102㎡~
2015,12,강원,7164.299999999999,모든면적
2015,12,강원,7563.599999999999,60㎡
2015,12,강원,7236.9,60㎡~85㎡
2015,12,강원,6801.299999999999,85㎡~102㎡
2015,12,강원,7164.299999999999,102㎡~
2015,12,충북,6616.5,모든면적
2015,12,충북,6405.299999999999,60㎡
2015,12,충북,6656.099999999999,60㎡~85㎡
2015,12,충북,7510.799999999999,85㎡~102㎡
2015,12,충북,7461.299999999999,102㎡~
2015,12,충남,7487.7,모든면적
2015,12,충남,8045.4,60㎡
2015,12,충남,7520.7,60㎡~85㎡
2015,12,충남,8325.9,85㎡~102㎡
2015,12,충남,8065.2,102㎡~
2015,12,전북,6543.9,모든면적
2015,12,전북,6352.5,60㎡
2015,12,전북,6557.099999999999,60㎡~85㎡
2015,12,전북,7844.099999999999,85㎡~102㎡
2015,12,전북,7530.599999999999,102㎡~
2015,12,전남,6299.7,모든면적
2015,12,전남,6596.7,60㎡
2015,12,전남,6289.799999999999,60㎡~85㎡
2015,12,전남,7464.599999999999,85㎡~102㎡
2015,12,전남,7180.799999999999,102㎡~
2015,12,경북,7197.299999999999,모든면적
2015,12,경북,7187.4,60㎡
2015,12,경북,7207.2,60㎡~85㎡
2015,12,경북,8302.8,85㎡~102㎡
2015,12,경북,7821.0,102㎡~
2015,12,경남,7613.099999999999,모든면적
2015,12,경남,7524.0,60㎡
2015,12,경남,7685.7,60㎡~85㎡
2015,12,경남,9682.199999999999,85㎡~102㎡
2015,12,경남,9962.699999999999,102㎡~
2015,12,제주,7484.4,모든면적
2015,12,제주,,60㎡
2015,12,제주,7458.0,60㎡~85㎡
2015,12,제주,8523.9,85㎡~102㎡
2015,12,제주,8494.199999999999,102㎡~
2016,1,서울,20156.399999999998,모든면적
2016,1,서울,21209.1,60㎡
2016,1,서울,19918.8,60㎡~85㎡
2016,1,서울,21492.899999999998,85㎡~102㎡
2016,1,서울,21618.3,102㎡~
2016,1,인천,10530.3,모든면적
2016,1,인천,10982.4,60㎡
2016,1,인천,10263.0,60㎡~85㎡
2016,1,인천,11698.5,85㎡~102㎡
2016,1,인천,11246.4,102㎡~
2016,1,경기,10553.4,모든면적
2016,1,경기,10866.9,60㎡
2016,1,경기,10932.9,60㎡~85㎡
2016,1,경기,11385.0,85㎡~102㎡
2016,1,경기,12705.0,102㎡~
2016,1,부산,10401.599999999999,모든면적
2016,1,부산,9738.3,60㎡
2016,1,부산,10088.1,60㎡~85㎡
2016,1,부산,9758.1,85㎡~102㎡
2016,1,부산,12579.599999999999,102㎡~
2016,1,대구,10183.8,모든면적
2016,1,대구,11025.3,60㎡
2016,1,대구,10239.9,60㎡~85㎡
2016,1,대구,8355.6,85㎡~102㎡
2016,1,대구,9051.9,102㎡~
2016,1,광주,8477.699999999999,모든면적
2016,1,광주,7903.5,60㎡
2016,1,광주,8520.6,60㎡~85㎡
2016,1,광주,,85㎡~102㎡
2016,1,광주,,102㎡~
2016,1,대전,8098.2,모든면적
2016,1,대전,8530.5,60㎡
2016,1,대전,8012.4,60㎡~85㎡
2016,1,대전,8121.299999999999,85㎡~102㎡
2016,1,대전,,102㎡~
2016,1,울산,10051.8,모든면적
2016,1,울산,8527.199999999999,60㎡
2016,1,울산,10074.9,60㎡~85㎡
2016,1,울산,8787.9,85㎡~102㎡
2016,1,울산,9484.199999999999,102㎡~
2016,1,세종,8794.5,모든면적
2016,1,세종,8583.3,60㎡
2016,1,세종,8830.8,60㎡~85㎡
2016,1,세종,8781.3,85㎡~102㎡
2016,1,세종,9081.6,102㎡~
2016,1,강원,7170.9,모든면적
2016,1,강원,7557.0,60㎡
2016,1,강원,7256.7,60㎡~85㎡
2016,1,강원,6801.299999999999,85㎡~102㎡
2016,1,강원,7164.299999999999,102㎡~
2016,1,충북,6626.4,모든면적
2016,1,충북,6441.599999999999,60㎡
2016,1,충북,6669.299999999999,60㎡~85㎡
2016,1,충북,7510.799999999999,85㎡~102㎡
2016,1,충북,7461.299999999999,102㎡~
2016,1,충남,7491.0,모든면적
