Number,X,Y,Al,Ti,Cr,Fe,Co,Ni,Cu,Zr,Mo,W,Mn,Si,Mg,Resistance,Thickness,Resistivity,Ex_resistivity,ravg,delta,dHmix,ENavg,dEN,N,Compo
1,-41,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.185,97.44348947,8.166251635,1.926251635,0.125,0,0,1.88,0,1,Co
2,-41,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.185,97.35711916,8.159013371,1.919013371,0.125,0,0,1.88,0,1,Co
3,-41,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.27074885,8.107711458,1.867711458,0.125,0,0,1.88,0,1,Co
4,-41,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.18437853,8.100512319,1.860512319,0.125,0,0,1.88,0,1,Co
5,-41,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.09800822,8.093313181,1.853313181,0.125,0,0,1.88,0,1,Co
6,-41,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,97.01163791,8.086114043,1.846114043,0.125,0,0,1.88,0,1,Co
7,-41,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,96.92526759,8.078914904,1.838914904,0.125,0,0,1.88,0,1,Co
8,-41,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.184,96.83889728,8.071715766,1.831715766,0.125,0,0,1.88,0,1,Co
9,-41,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.75252697,8.020687733,1.780687733,0.125,0,0,1.88,0,1,Co
10,-41,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.66615665,8.01352772,1.77352772,0.125,0,0,1.88,0,1,Co
11,-41,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.57978634,8.006367708,1.766367708,0.125,0,0,1.88,0,1,Co
12,-41,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.183,96.49341603,7.999207695,1.759207695,0.125,0,0,1.88,0,1,Co
13,-39,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.181,100.2184441,8.217210887,1.977210887,0.125,0,0,1.88,0,1,Co
14,-39,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,100.130324,8.164626619,1.924626619,0.125,0,0,1.88,0,1,Co
15,-39,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,100.0422038,8.157441298,1.917441298,0.125,0,0,1.88,0,1,Co
16,-39,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,99.95408362,8.150255978,1.910255978,0.125,0,0,1.88,0,1,Co
17,-39,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.18,99.86596346,8.143070661,1.903070661,0.125,0,0,1.88,0,1,Co
18,-39,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.77784329,8.090685979,1.850685979,0.125,0,0,1.88,0,1,Co
19,-39,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.68972313,8.083540579,1.843540579,0.125,0,0,1.88,0,1,Co
20,-39,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.60160296,8.076395179,1.836395179,0.125,0,0,1.88,0,1,Co
21,-39,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.51348279,8.069249779,1.829249779,0.125,0,0,1.88,0,1,Co
22,-39,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.179,99.42536263,8.06210438,1.82210438,0.125,0,0,1.88,0,1,Co
23,-39,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.33724246,8.009959209,1.769959209,0.125,0,0,1.88,0,1,Co
24,-39,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.2491223,8.002853728,1.762853728,0.125,0,0,1.88,0,1,Co
25,-39,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.16100213,7.995748246,1.755748246,0.125,0,0,1.88,0,1,Co
26,-39,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,99.07288197,7.988642765,1.748642765,0.125,0,0,1.88,0,1,Co
27,-39,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.9847618,7.981537283,1.741537283,0.125,0,0,1.88,0,1,Co
28,-39,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.89664163,7.974431801,1.734431801,0.125,0,0,1.88,0,1,Co
29,-39,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.178,98.80852147,7.96732632,1.72732632,0.125,0,0,1.88,0,1,Co
30,-39,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.177,98.7204013,7.915500497,1.675500497,0.125,0,0,1.88,0,1,Co
31,-37,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.9140279,8.158509562,1.918509562,0.125,0,0,1.88,0,1,Co
32,-37,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.8241579,8.151385118,1.911385118,0.125,0,0,1.88,0,1,Co
33,-37,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.7342878,8.097722033,1.857722033,0.125,0,0,1.88,0,1,Co
34,-37,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.6444178,8.0906383,1.8506383,0.125,0,0,1.88,0,1,Co
35,-37,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.5545478,8.083554567,1.843554567,0.125,0,0,1.88,0,1,Co
36,-37,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.4646778,8.122887333,1.882887333,0.125,0,0,1.88,0,1,Co
37,-37,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.175,102.3748078,8.115762888,1.875762888,0.125,0,0,1.88,0,1,Co
38,-37,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.2849377,8.062303359,1.822303359,0.125,0,0,1.88,0,1,Co
39,-37,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.1950677,8.055219626,1.815219626,0.125,0,0,1.88,0,1,Co
40,-37,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.1051977,8.048135893,1.808135893,0.125,0,0,1.88,0,1,Co
41,-37,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,102.0153277,8.04105216,1.80105216,0.125,0,0,1.88,0,1,Co
42,-37,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,101.9254577,8.033968427,1.793968427,0.125,0,0,1.88,0,1,Co
43,-37,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.8355876,7.980753165,1.740753165,0.125,0,0,1.88,0,1,Co
44,-37,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.7457176,7.973710143,1.733710143,0.125,0,0,1.88,0,1,Co
45,-37,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.174,101.6558476,8.01271722,1.77271722,0.125,0,0,1.88,0,1,Co
46,-37,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.5659776,7.959624099,1.719624099,0.125,0,0,1.88,0,1,Co
47,-37,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.4761076,7.952581077,1.712581077,0.125,0,0,1.88,0,1,Co
48,-37,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.3862376,7.899610089,1.659610089,0.125,0,0,1.88,0,1,Co
49,-37,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.2963675,7.938495025,1.698495025,0.125,0,0,1.88,0,1,Co
50,-37,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.2064975,7.885605459,1.645605459,0.125,0,0,1.88,0,1,Co
51,-37,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.173,101.1166275,7.924408981,1.684408981,0.125,0,0,1.88,0,1,Co
52,-37,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.172,101.0267575,7.871600837,1.631600837,0.125,0,0,1.88,0,1,Co
53,-35,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,105.5249912,8.126479572,1.886479572,0.125,0,0,1.88,0,1,Co
54,-35,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,105.4333713,8.119423924,1.879423924,0.125,0,0,1.88,0,1,Co
55,-35,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,105.3417514,8.112368275,1.872368275,0.125,0,0,1.88,0,1,Co
56,-35,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,105.2501315,8.057634317,1.817634317,0.125,0,0,1.88,0,1,Co
57,-35,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,105.1585117,8.05062018,1.81062018,0.125,0,0,1.88,0,1,Co
58,-35,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,105.0668918,8.091201338,1.851201338,0.125,0,0,1.88,0,1,Co
59,-35,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,104.9752719,8.084145689,1.844145689,0.125,0,0,1.88,0,1,Co
60,-35,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.171,104.8836521,8.124602343,1.884602343,0.125,0,0,1.88,0,1,Co
61,-35,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.7920322,8.022563609,1.782563609,0.125,0,0,1.88,0,1,Co
62,-35,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.17,104.7004123,8.062978751,1.822978751,0.125,0,0,1.88,0,1,Co
63,-35,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.6087924,8.00853532,1.76853532,0.125,0,0,1.88,0,1,Co
64,-35,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.5171726,8.001521183,1.761521183,0.125,0,0,1.88,0,1,Co
65,-35,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.4255527,7.994507038,1.754507038,0.125,0,0,1.88,0,1,Co
66,-35,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.3339328,7.987492893,1.747492893,0.125,0,0,1.88,0,1,Co
67,-35,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,104.242313,7.933256989,1.693256989,0.125,0,0,1.88,0,1,Co
68,-35,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,104.1506931,7.973464612,1.733464612,0.125,0,0,1.88,0,1,Co
69,-35,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,104.0590732,7.919311707,1.679311707,0.125,0,0,1.88,0,1,Co
70,-35,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.169,103.9674533,7.959436322,1.719436322,0.125,0,0,1.88,0,1,Co
71,-35,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,103.8758335,7.905366433,1.665366433,0.125,0,0,1.88,0,1,Co
72,-35,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,103.7842136,7.898393792,1.658393792,0.125,0,0,1.88,0,1,Co
73,-35,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,103.6925937,7.891421151,1.651421151,0.125,0,0,1.88,0,1,Co
74,-35,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,103.6009739,7.884448518,1.644448518,0.125,0,0,1.88,0,1,Co
75,-35,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.168,103.509354,7.877475877,1.637475877,0.125,0,0,1.88,0,1,Co
76,-35,23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.167,103.4177341,7.823655002,1.583655002,0.125,0,0,1.88,0,1,Co
77,-33,-27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,108.2328239,8.089862422,1.849862422,0.125,0,0,1.88,0,1,Co
78,-33,-25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,108.1394541,8.033896324,1.793896324,0.125,0,0,1.88,0,1,Co
79,-33,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,108.0460844,8.075904578,1.835904578,0.125,0,0,1.88,0,1,Co
80,-33,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.9527147,8.06892566,1.82892566,0.125,0,0,1.88,0,1,Co
81,-33,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.859345,8.061946742,1.821946742,0.125,0,0,1.88,0,1,Co
82,-33,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.7659753,8.054967824,1.814967824,0.125,0,0,1.88,0,1,Co
83,-33,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.6726055,8.047988898,1.807988898,0.125,0,0,1.88,0,1,Co
84,-33,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.166,107.5792358,8.089743374,1.849743374,0.125,0,0,1.88,0,1,Co
85,-33,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.166,107.4858661,8.082722159,1.842722159,0.125,0,0,1.88,0,1,Co
86,-33,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.166,107.3924964,8.075700944,1.835700944,0.125,0,0,1.88,0,1,Co
87,-33,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.2991266,8.020073218,1.780073218,0.125,0,0,1.88,0,1,Co
88,-33,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.2057569,8.013094299,1.773094299,0.125,0,0,1.88,0,1,Co
89,-33,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.1123872,8.006115381,1.766115381,0.125,0,0,1.88,0,1,Co
90,-33,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.165,107.0190175,7.999136463,1.759136463,0.125,0,0,1.88,0,1,Co
91,-33,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.9256477,7.943720219,1.703720219,0.125,0,0,1.88,0,1,Co
92,-33,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.832278,7.936783597,1.696783597,0.125,0,0,1.88,0,1,Co
93,-33,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.7389083,7.929846975,1.689846975,0.125,0,0,1.88,0,1,Co
94,-33,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.6455386,7.922910354,1.682910354,0.125,0,0,1.88,0,1,Co
95,-33,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.5521688,7.915973724,1.675973724,0.125,0,0,1.88,0,1,Co
96,-33,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.4587991,7.909037103,1.669037103,0.125,0,0,1.88,0,1,Co
97,-33,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.163,106.3654294,7.853916941,1.613916941,0.125,0,0,1.88,0,1,Co
98,-33,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.2720597,7.895163859,1.655163859,0.125,0,0,1.88,0,1,Co
99,-33,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.163,106.17869,7.840128291,1.600128291,0.125,0,0,1.88,0,1,Co
100,-33,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,106.0853202,7.881290608,1.641290608,0.125,0,0,1.88,0,1,Co
101,-33,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.163,105.9919505,7.826339633,1.586339633,0.125,0,0,1.88,0,1,Co
102,-33,23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.163,105.8985808,7.819445308,1.579445308,0.125,0,0,1.88,0,1,Co
103,-33,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.163,105.8052111,7.812550982,1.572550982,0.125,0,0,1.88,0,1,Co
104,-33,27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.164,105.7118413,7.853544114,1.613544114,0.125,0,0,1.88,0,1,Co
105,-31,-29,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,110.8456057,8.084302561,1.844302561,0.125,0,0,1.88,0,1,Co
106,-31,-27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.7574168,8.02769757,1.78769757,0.125,0,0,1.88,0,1,Co
107,-31,-25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.6622973,8.020803308,1.780803308,0.125,0,0,1.88,0,1,Co
108,-31,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.5671777,8.01390904,1.77390904,0.125,0,0,1.88,0,1,Co
109,-31,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.4720581,8.007014771,1.767014771,0.125,0,0,1.88,0,1,Co
110,-31,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.3769385,8.000120502,1.760120502,0.125,0,0,1.88,0,1,Co
111,-31,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,110.281819,7.993226241,1.753226241,0.125,0,0,1.88,0,1,Co
112,-31,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,110.1866994,8.036246547,1.796246547,0.125,0,0,1.88,0,1,Co
113,-31,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,110.0915798,8.02930919,1.78930919,0.125,0,0,1.88,0,1,Co
114,-31,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,109.9964602,8.022371832,1.782371832,0.125,0,0,1.88,0,1,Co
115,-31,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.162,109.9013407,8.065219789,1.825219789,0.125,0,0,1.88,0,1,Co
116,-31,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,109.8062211,7.958754905,1.718754905,0.125,0,0,1.88,0,1,Co
117,-31,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,109.7111015,8.001559766,1.761559766,0.125,0,0,1.88,0,1,Co
118,-31,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,109.6159819,7.994622408,1.754622408,0.125,0,0,1.88,0,1,Co
119,-31,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.161,109.5208624,7.987685057,1.747685057,0.125,0,0,1.88,0,1,Co
120,-31,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,109.4257428,7.931177838,1.691177838,0.125,0,0,1.88,0,1,Co
121,-31,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,109.3306232,7.92428357,1.68428357,0.125,0,0,1.88,0,1,Co
122,-31,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,109.2355036,7.917389301,1.677389301,0.125,0,0,1.88,0,1,Co
123,-31,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,109.140384,7.910495032,1.670495032,0.125,0,0,1.88,0,1,Co
124,-31,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,109.0452645,7.854203266,1.614203266,0.125,0,0,1.88,0,1,Co
125,-31,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,108.9501449,7.896706502,1.656706502,0.125,0,0,1.88,0,1,Co
126,-31,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,108.8550253,7.889812234,1.649812234,0.125,0,0,1.88,0,1,Co
127,-31,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.16,108.7599057,7.882917965,1.642917965,0.125,0,0,1.88,0,1,Co
128,-31,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.6647862,7.826798556,1.586798556,0.125,0,0,1.88,0,1,Co
129,-31,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.5696666,7.819947376,1.579947376,0.125,0,0,1.88,0,1,Co
130,-31,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.474547,7.813096197,1.573096197,0.125,0,0,1.88,0,1,Co
131,-31,23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.3794274,7.806245017,1.566245017,0.125,0,0,1.88,0,1,Co
132,-31,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.2843079,7.799393845,1.559393845,0.125,0,0,1.88,0,1,Co
133,-31,27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.1891883,7.792542666,1.552542666,0.125,0,0,1.88,0,1,Co
134,-31,29,0,0,0,0,100,0,0,0,0,0,0,0,0,0.159,108.0640899,7.783532203,1.543532203,0.125,0,0,1.88,0,1,Co
135,-29,-31,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,113.4565148,8.069140789,1.829140789,0.125,0,0,1.88,0,1,Co
136,-29,-29,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,113.3706362,8.063033017,1.823033017,0.125,0,0,1.88,0,1,Co
137,-29,-27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,113.2820098,8.005413069,1.765413069,0.125,0,0,1.88,0,1,Co
138,-29,-25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,113.1851404,7.998567502,1.758567502,0.125,0,0,1.88,0,1,Co
139,-29,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,113.088271,7.991721935,1.751721935,0.125,0,0,1.88,0,1,Co
140,-29,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,112.9914015,7.984876361,1.744876361,0.125,0,0,1.88,0,1,Co
141,-29,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,112.8945321,7.978030794,1.738030794,0.125,0,0,1.88,0,1,Co
142,-29,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,112.7976627,7.971185228,1.731185228,0.125,0,0,1.88,0,1,Co
143,-29,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,112.7007932,7.964339654,1.724339654,0.125,0,0,1.88,0,1,Co
144,-29,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.6039238,8.008503665,1.768503665,0.125,0,0,1.88,0,1,Co
145,-29,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.5070544,8.001614216,1.761614216,0.125,0,0,1.88,0,1,Co
146,-29,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.158,112.410185,8.045646581,1.805646581,0.125,0,0,1.88,0,1,Co
147,-29,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.3133155,7.987835312,1.747835312,0.125,0,0,1.88,0,1,Co
148,-29,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.2164461,7.980945863,1.740945863,0.125,0,0,1.88,0,1,Co
149,-29,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.1195767,7.974056414,1.734056414,0.125,0,0,1.88,0,1,Co
150,-29,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,112.0227072,7.967166959,1.727166959,0.125,0,0,1.88,0,1,Co
151,-29,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.9258378,7.909575106,1.669575106,0.125,0,0,1.88,0,1,Co
152,-29,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.157,111.8289684,7.953388062,1.713388062,0.125,0,0,1.88,0,1,Co
153,-29,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.732099,7.895883972,1.655883972,0.125,0,0,1.88,0,1,Co
154,-29,7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.6352295,7.889038398,1.649038398,0.125,0,0,1.88,0,1,Co
155,-29,9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.5383601,7.882192832,1.642192832,0.125,0,0,1.88,0,1,Co
156,-29,11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.4414907,7.875347265,1.635347265,0.125,0,0,1.88,0,1,Co
157,-29,13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,111.3446212,7.818062578,1.578062578,0.125,0,0,1.88,0,1,Co
158,-29,15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.2477518,7.861656124,1.621656124,0.125,0,0,1.88,0,1,Co
159,-29,17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,111.1508824,7.804459208,1.564459208,0.125,0,0,1.88,0,1,Co
160,-29,19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,111.054013,7.847964991,1.607964991,0.125,0,0,1.88,0,1,Co
161,-29,21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.156,110.9571435,7.841119417,1.601119417,0.125,0,0,1.88,0,1,Co
162,-29,23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,110.8602741,7.784054146,1.544054146,0.125,0,0,1.88,0,1,Co
163,-29,25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,110.7634047,7.777252461,1.537252461,0.125,0,0,1.88,0,1,Co
164,-29,27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,110.6665352,7.770450769,1.530450769,0.125,0,0,1.88,0,1,Co
165,-29,29,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,110.5409994,7.761636273,1.521636273,0.125,0,0,1.88,0,1,Co
166,-29,31,0,0,0,0,100,0,0,0,0,0,0,0,0,0.155,110.4059081,7.752150837,1.512150837,0.125,0,0,1.88,0,1,Co
167,-27,-33,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,116.0655511,8.044387281,1.804387281,0.125,0,0,1.88,0,1,Co
168,-27,-31,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.979235,7.985866205,1.745866205,0.125,0,0,1.88,0,1,Co
169,-27,-29,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.8929189,7.979922824,1.739922824,0.125,0,0,1.88,0,1,Co
170,-27,-27,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.8127273,7.974401151,1.734401151,0.125,0,0,1.88,0,1,Co
171,-27,-25,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.7145455,7.967640745,1.727640745,0.125,0,0,1.88,0,1,Co
172,-27,-23,0,0,0,0,100,0,0,0,0,0,0,0,0,0.151,115.6163636,7.908506119,1.668506119,0.125,0,0,1.88,0,1,Co
173,-27,-21,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.5181818,7.954119926,1.714119926,0.125,0,0,1.88,0,1,Co
174,-27,-19,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.42,7.94735952,1.70735952,0.125,0,0,1.88,0,1,Co
175,-27,-17,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.3218182,7.940599114,1.700599114,0.125,0,0,1.88,0,1,Co
176,-27,-15,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,115.2236364,7.933838708,1.693838708,0.125,0,0,1.88,0,1,Co
177,-27,-13,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,115.1254545,7.979230126,1.739230126,0.125,0,0,1.88,0,1,Co
178,-27,-11,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,115.0272727,7.972425244,1.732425244,0.125,0,0,1.88,0,1,Co
179,-27,-9,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.9290909,7.965620361,1.725620361,0.125,0,0,1.88,0,1,Co
180,-27,-7,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.8309091,7.958815479,1.718815479,0.125,0,0,1.88,0,1,Co
181,-27,-5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.7327273,7.952010596,1.712010596,0.125,0,0,1.88,0,1,Co
182,-27,-3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.6345455,7.945205714,1.705205714,0.125,0,0,1.88,0,1,Co
183,-27,-1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.5363636,7.938400825,1.698400825,0.125,0,0,1.88,0,1,Co
184,-27,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.4381818,7.931595942,1.691595942,0.125,0,0,1.88,0,1,Co
185,-27,3,0,0,0,0,100,0,0,0,0,0,0,0,0,0.153,114.34,7.92479106,1.68479106,0.125,0,0,1.88,0,1,Co
186,-27,5,0,0,0,0,100,0,0,0,0,0,0,0,0,0.152,114.2418182,7.866234634,1.626234634,0.125,0,0,1.88,0,1,Co
