feature,importance
근속연차,0.05803196
출장,0.047258534
경력/나이비율,0.042336192
출장_등급,0.042209025
경력-근속연차,0.041320086
월급,0.0403984
연봉/경력비율,0.040340185
참여프로젝트,0.040002417
경력,0.039717894
연봉/프로젝트비율,0.03965733
근속/나이비율,0.03901521
교육출장참여율,0.03895945
연봉/나이,0.038711254
주변평가,0.038251616
프로젝트참여율,0.037608262
연봉×평판점수,0.036199152
현회사근속년수,0.036014374
이직회수,0.03598372
프로젝트밀도지수,0.035501402
나이,0.03522845
현직근속비율,0.035018783
이직률,0.03465293
근속연차차이,0.033895083
전년도교육출장횟수,0.033703066
평판×근속연차,0.03249568
입사나이,0.027489504
